LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
"70540","Belyuen (S)","NT","39","53","3","5.7","19","20","0","3","0","0"
"70620","Central Desert (R)","NT","2299","1210","34","2","115","282","1902","24","10","6"
"70700","Coomalie (S)","NT","836","639","105","14.2","430","406","0","91","14","0"
"71000","Darwin (C)","NT","39831","22382","4536","19.4","21958","9815","8058","4337","199","9"
"71300","East Arnhem (R)","NT","4027","2915","169","4.9","831","953","2243","143","26","5"
"72200","Katherine (T)","NT","4368","3673","485","11.9","2378","1990","0","438","47","0"
"72300","Litchfield (M)","NT","12785","8159","1714","20","9575","2912","298","1634","80","1"
"72330","MacDonnell (R)","NT","2027","1996","58","2.1","203","419","1405","42","16","8"
"72800","Palmerston (C)","NT","18132","12202","3050","24.7","15509","2233","390","3008","42","1"
"73600","Roper Gulf (R)","NT","1899","2412","88","2.8","377","673","849","68","20","4"
"74050","Tiwi Islands (R)","NT","1702","800","56","6","289","312","1101","48","8","1"
"74550","Victoria Daly (R)","NT","2310","1124","48","3.4","216","379","1715","38","10","3"
"74560","Wagait (S)","NT","112","149","10","6","54","58","0","9","1","0"
"74660","West Arnhem (R)","NT","3546","2220","127","4.7","623","761","2162","105","22","4"
"74680","West Daly (R)","NT","778","1036","74","6.1","374","404","0","63","11","0"
"79399","Unincorporated NT","NT","3406","2410","138","5","682","655","2069","121","17","2"
"89399","Unincorporated ACT","ACT","157529","142748","24837","16.8","87866","19631","50032","23960","877","18"
"99399","Unincorp. Other Territories","","2253","2515","662","24.9","1620","631","2","626","36","2"
