LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
"57910","Stirling (C)","WA","70987","93801","18020","18.8","59562","10785","640","17618","402","4"
"57980","Subiaco (C)","WA","5303","5483","1108","19.2","3867","1436","0","1055","53","0"
"58050","Swan (C)","WA","92825","56630","20924","36","76289","13601","2935","20404","520","8"
"58190","Tammin (S)","WA","196","211","42","18.5","121","75","0","39","3","0"
"58260","Three Springs (S)","WA","367","294","75","23.8","276","91","0","70","5","0"
"58330","Toodyay (S)","WA","3234","2369","964","40.2","2957","277","0","953","11","0"
"58400","Trayning (S)","WA","167","240","42","17.5","167","0","0","42","0","0"
"58470","Upper Gascoyne (S)","WA","93","143","16","10.5","80","13","0","15","1","0"
"58510","Victoria Park (T)","WA","12854","14631","2577","16.5","7786","5068","0","2418","159","0"
"58540","Victoria Plains (S)","WA","904","443","104","20.1","378","526","0","89","15","0"
"58570","Vincent (C)","WA","9527","10401","1992","18.2","6608","2817","102","1895","97","1"
"58610","Wagin (S)","WA","1040","938","268","28","898","142","0","263","5","0"
"58680","Wandering (S)","WA","264","223","62","27.4","234","30","0","61","1","0"
"58760","Wanneroo (C)","WA","114945","79101","29101","36.2","101249","12955","741","28646","455","4"
"58820","Waroona (S)","WA","2835","2023","669","32.4","2383","452","0","655","14","0"
"58890","West Arthur (S)","WA","380","455","100","21.3","310","70","0","97","3","0"
"59030","Westonia (S)","WA","191","130","51","37.7","166","25","0","49","2","0"
"59100","Wickepin (S)","WA","302","397","85","20.7","252","50","0","82","3","0"
"59170","Williams (S)","WA","513","476","94","18.1","319","194","0","86","8","0"
"59250","Wiluna (S)","WA","243","236","11","2.1","24","219","0","5","6","0"
"59310","Wongan-Ballidu (S)","WA","854","780","144","16.5","545","309","0","129","15","0"
"59320","Woodanilling (S)","WA","216","207","61","29","201","15","0","60","1","0"
"59330","Wyalkatchem (S)","WA","247","308","75","24","237","10","0","74","1","0"
"59340","Wyndham-East Kimberley (S)","WA","1673","3852","225","5.4","1222","451","0","209","16","0"
"59350","Yalgoo (S)","WA","146","112","14","11.6","70","76","0","13","1","0"
"59360","Yilgarn (S)","WA","668","682","124","17","558","110","0","116","8","0"
"59370","York (S)","WA","2660","1907","668","34.6","2340","320","0","659","9","0"
"60210","Break O'Day (M)","TAS","2932","4578","743","15.7","2526","406","0","720","23","0"
"60410","Brighton (M)","TAS","4720","6920","1178","16.6","4240","480","0","1149","29","0"
"60610","Burnie (C)","TAS","4320","9216","889","9.2","3215","969","136","851","38","1"
