postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"2777","1693","6688","24.5","6113","5132","981","0","1640","53","0","116062","742,795","149.2"
"2778","289","983","29.2","861","828","33","0","287","2","0","15917","101,870","20.4"
"2779","453","2057","21.6","1434","1296","139","0","444","9","0","28924","185,112","37.1"
"2780","1113","6938","15.5","4135","3122","1013","0","1074","39","0","111048","710,709","145.9"
"2782","590","2971","19.6","1972","1806","166","0","581","9","0","48722","311,823","62.5"
"2783","256","1132","21.8","875","673","202","0","247","9","0","19343","123,795","24.8"
"2784","146","553","26.2","408","395","13","0","145","1","0","8394","53,723","10.8"
"2785","502","2898","16.9","1688","1439","250","0","491","11","0","4489","28,731","5.9"
"2786","146","838","16.2","569","414","155","0","136","10","0","5224","33,431","6.7"
"2787","445","2118","19.7","1997","1649","348","0","418","27","0","40069","256,440","52.5"
"2790","1161","7285","15.1","5248","3861","1181","207","1099","61","1","162605","1,040,672","214.3"
"2791","46","156","26.3","312","185","127","0","41","5","0","6491","41,540","9.2"
"2792","45","205","20.5","292","184","108","0","42","3","0","7418","47,478","10.5"
"2793","150","563","26.1","589","544","45","0","147","3","0","15976","102,248","22.7"
"2794","1036","4536","20.9","5777","3526","2005","246","949","86","1","140984","902,298","201"
"2795","3486","18058","17.9","18162","12922","5240","0","3239","247","0","475978","3,046,258","665.7"
"2797","51","187","26.2","223","199","23","0","49","2","0","3750","24,003","5.3"
"2798","237","892","24.1","1116","871","245","0","215","22","0","29101","186,248","41.3"
"2799","317","1709","17.0","1778","1207","570","0","291","26","0","24870","159,170","35.3"
"2800","3533","19257","16.7","19959","12694","7265","0","3221","312","0","462098","2,957,429","658.9"
"2803","55","152","32.2","547","213","334","0","49","6","0","10863","69,523","15.4"
"2804","387","1223","29.8","1802","1352","451","0","364","23","0","32462","207,757","46"
"2805","47","198","21.2","218","146","72","0","42","5","0","8188","52,406","12"
"2806","99","406","22.9","581","442","138","0","93","6","0","12064","77,208","17.6"
"2807","63","216","28.7","235","220","15","0","62","1","0","8077","51,695","11.5"
"2808","28","181","14.4","114","92","22","0","26","2","0","6043","38,678","8.6"
"2809","32","113","24.8","165","118","47","0","28","4","0","6341","40,584","9.3"
"2810","353","1627","20.0","1836","1275","561","0","326","27","0","44326","283,686","64.8"
"2820","650","3063","19.6","3146","2185","960","0","599","51","0","56651","362,569","83.5"
"2821","859","1983","38.5","15555","2512","1652","11391","763","94","2","78374","501,596","115.5"
"2823","237","614","33.9","1164","768","396","0","208","29","0","38714","247,769","57"
"2824","456","1010","39.9","2266","1482","784","0","403","53","0","46818","299,633","69.2"
"2825","355","1094","28.3","103821","1102","719","102000","310","44","1","45001","288,004","67.1"
"2827","606","1652","33.6","2732","1873","860","0","555","51","0","65722","420,622","96.9"
"2828","131","459","24.4","734","455","279","0","112","19","0","24993","159,955","36.8"
"2829","506","1431","31.9","2606","1653","954","0","457","49","0","36309","232,380","54.1"
"2830","7146","16000","42.4","46290","19782","8140","18368","6780","363","3","440342","2,818,192","651.8"
"2831","466","903","48.2","1739","1373","367","0","435","31","0","55997","358,380","83.3"
"2832","409","1261","29.5","1968","1346","622","0","372","37","0","60074","384,473","90"
"2833","128","376","31.4","536","435","102","0","118","10","0","14832","94,926","22.1"
"2834","473","1437","31.7","1610","1155","455","0","455","18","0","40350","258,241","61.2"
"2835","723","1968","34.8","3036","2342","694","0","685","38","0","58039","371,448","86.7"
"2836","139","445","27.2","671","428","242","0","121","18","0","17842","114,190","28"
"2839","157","532","27.3","773","597","176","0","145","12","0","23254","148,828","35.8"
"2840","497","1315","32.9","2907","1880","1027","0","432","65","0","57035","365,024","87.9"
"2842","124","317","36.9","503","373","130","0","117","7","0","17874","114,393","26.3"
"2843","168","590","25.4","988","653","334","0","150","18","0","26476","169,448","37.6"
"2844","205","720","26.3","937","698","239","0","189","16","0","26049","166,716","37"
"2845","152","817","17.5","660","529","130","0","143","9","0","2227","14,255","3.1"
"2846","58","181","31.5","177","166","11","0","57","1","0","8420","53,891","11.7"
"2847","271","1022","25.1","1142","921","221","0","257","14","0","7998","51,187","11.2"
"2848","136","856","14.8","661","484","177","0","127","9","0","19791","126,665","28.3"
"2849","235","894","24.8","1023","829","193","0","222","13","0","30972","198,224","44"
"2850","1936","8270","21.5","10025","7302","2723","0","1778","158","0","139499","892,792","198.2"
"2852","373","1658","21.0","112814","1382","528","110904","348","24","1","50947","326,059","72.5"
"2864","120","348","31.9","626","453","173","0","111","9","0","18718","119,798","26.6"
"2865","187","392","44.1","56712","639","201","55872","173","13","1","10159","65,019","14.4"
"2866","331","1254","24.1","1723","1236","487","0","302","29","0","32379","207,225","45.9"
"2867","97","292","32.2","503","460","43","0","94","3","0","17085","109,343","25.2"
"2868","87","297","26.6","421","331","90","0","79","8","0","16333","104,528","24"
"2869","231","734","29.3","1158","828","330","0","215","16","0","39128","250,422","57.6"
"2870","1370","4875","25.0","73945","5048","2568","66329","1217","149","4","158354","1,013,462","232.2"
"2871","820","4148","17.3","4894","3045","1849","0","719","101","0","167535","1,072,227","245.7"
"2873","137","285","41.8","684","475","210","0","119","18","0","17142","109,710","25.3"
"2874","85","226","35.0","362","291","71","0","79","6","0","12971","83,014","19.1"
"2875","131","522","23.2","637","530","107","0","121","10","0","30124","192,791","44.4"
"2876","47","191","22.5","227","185","41","0","43","4","0","16243","103,956","23.7"
"2877","583","1762","29.4","3339","2116","1223","0","518","65","0","51935","332,386","76.6"
"2878","44","173","22.0","231","153","78","0","38","6","0","15254","97,623","22.7"
"2879","170","425","35.5","852","526","326","0","151","19","0","16176","103,529","25.4"
"2880","4036","9586","40.2","67415","10909","3506","53000","3852","183","1","197925","1,266,719","311.7"
"2898","42","232","17.2","163","142","21","0","40","2","0","","",""
"2899","544","1704","30.6","1651","1177","474","0","521","23","0","","",""
"2900","99","588","15.5","561","332","230","0","91","8","0","27020","172,931","38"
"2902","1242","5932","20.4","5070","4364","463","243","1209","32","1","88107","563,883","124.5"
"2903","681","3742","17.8","2703","2477","226","0","665","16","0","57331","366,921","81"
"2904","1121","5008","21.9","16699","3514","335","12850","1098","22","1","75987","486,318","107.4"
"2905","1974","11033","17.5","7994","7212","781","0","1932","42","0","156473","1,001,426","221"
"2906","1113","6418","17.0","4418","3978","441","0","1089","24","0","94273","603,345","133.2"
"2911","252","2180","9.8","2178","972","1206","0","214","38","0","53195","340,449","75.2"
"2912","233","1792","12.3","1249","807","442","0","221","12","0","34281","219,399","47.4"
"2913","2023","14125","14.0","7861","7239","622","0","1979","44","0","165915","1,061,855","229.9"
"2914","1582","9699","15.8","7706","6210","896","600","1531","50","1","113265","724,896","156.9"
"3000","48","502","4.8","1037","105","733","199","24","23","1","117652","752,976","145.5"
"3002","52","708","6.6","337","167","170","0","47","5","0","23720","151,809","29.2"
"3003","75","794","7.6","862","223","639","0","60","15","0","67817","434,028","84.5"
"3004","13","33","","255","14","241","0","4","9","0","","",""
"3006","22","309","2.9","1082","51","247","784","9","9","4","45170","289,086","55.9"
"3008","87","186","37.1","1540","115","763","661","69","16","2","43764","280,088","54.3"
"3011","659","6077","10.2","2992","1881","1111","0","619","40","0","108622","695,182","134.5"
"3012","1022","9737","9.9","5095","3039","1856","200","960","61","1","269117","1,722,349","337.7"
"3013","731","5984","11.9","2745","2231","515","0","710","21","0","88707","567,726","111.7"
"3015","836","7060","11.6","3355","2559","418","378","817","18","1","118341","757,383","148.4"
"3016","768","5751","12.7","3172","2388","784","0","729","39","0","102060","653,182","128.4"
"3018","962","5904","15.7","3940","2587","1353","0","924","38","0","135695","868,446","170.3"
"3019","388","3893","9.5","2049","1224","825","0","368","20","0","65027","416,171","80"
"3020","2462","16224","14.3","12120","6548","4121","1451","2328","131","3","382940","2,450,816","477.7"
"3021","2833","19069","14.7","10239","9033","732","475","2808","23","2","277602","1,776,656","342.2"
"3022","171","1311","12.7","628","486","142","0","167","4","0","20136","128,873","25.3"
"3023","4648","21479","21.3","18016","14708","2354","954","4572","73","3","367514","2,352,090","460.8"
"3024","2231","9298","23.9","8515","8095","283","138","2219","11","1","133253","852,819","171.8"
"3025","501","4910","9.5","3277","1402","1375","500","467","33","1","177332","1,134,922","224"
"3026","177","61","","5604","595","3222","1787","103","69","5","467328","2,990,901","601"
"3027","598","3002","19.9","2293","2283","10","0","597","1","0","39121","250,372","48.8"
"3028","1891","11329","16.6","6426","5784","642","0","1875","16","0","160904","1,029,784","201.1"
"3029","9380","33189","27.8","41824","34272","5452","2101","9210","163","7","686327","4,392,494","864"
"3030","7695","40729","18.4","34876","26687","5467","2722","7512","178","5","584210","3,738,941","730.5"
"3031","527","5062","10.0","1960","1432","528","0","508","19","0","73902","472,974","91.7"
"3032","1087","8649","12.2","4302","3550","752","0","1057","30","0","139424","892,317","171.8"
"3033","751","5905","12.3","2803","2446","357","0","729","22","0","95922","613,904","118.8"
"3034","538","4895","10.6","2028","1697","331","0","520","18","0","62479","399,868","77"
"3036","380","2334","15.5","1594","1355","240","0","362","18","0","43523","278,545","53.6"
"3037","3369","17318","19.1","12925","11568","857","500","3315","53","1","270719","1,732,605","333.6"
"3038","1814","9504","18.9","7188","6345","593","250","1792","21","1","178548","1,142,709","220"
"3039","519","4490","11.1","2051","1588","463","0","497","22","0","73588","470,965","90.7"
"3040","982","8223","11.3","4109","3176","933","0","931","51","0","132349","847,033","163"
"3041","533","4385","11.9","2103","1857","246","0","520","13","0","83852","536,651","103.5"
"3042","762","7427","9.5","4346","2270","1602","475","708","53","1","131145","839,327","161.8"
"3043","1091","7752","13.0","6130","3268","2715","147","1004","86","1","212462","1,359,756","264.5"
"3044","1056","11633","8.9","3818","3199","619","0","1030","26","0","133729","855,869","165"
"3045","4","3","","95","5","90","0","2","2","0","82655","528,992","102.4"
"3046","1319","13725","9.4","4573","4011","562","0","1292","27","0","170194","1,089,241","209.8"
"3047","849","6358","12.8","6826","2711","1257","2858","812","34","3","139003","889,620","171"
"3048","915","5950","14.9","3560","2919","642","0","888","27","0","103531","662,595","128.6"
"3049","538","3676","14.4","2040","1922","118","0","529","9","0","59935","383,582","73.8"
"3051","161","2551","5.6","919","426","493","0","144","17","0","51824","331,670","64.3"
"3052","86","964","7.3","1193","223","569","401","70","13","3","39844","255,000","49.2"
"3053","109","1657","5.1","1756","241","981","533","84","24","1","36653","234,576","45.2"
"3054","240","3081","7.7","782","699","83","0","236","4","0","29194","186,841","36"
"3055","526","4172","12.3","1793","1570","223","0","513","13","0","53971","345,415","66.5"
"3056","877","8468","9.8","3929","2462","1467","0","834","43","0","124886","799,271","154.9"
"3057","351","3709","8.9","1397","1011","387","0","331","20","0","45578","291,701","56.3"
"3058","1851","13596","12.9","8424","5668","2124","632","1752","97","2","212155","1,357,792","263.7"
"3059","1226","5626","21.0","5524","4964","560","0","1180","46","0","109825","702,878","135.5"
"3060","525","5325","9.5","2007","1622","385","0","506","19","0","78044","499,480","96.4"
"3061","449","1726","15.7","7860","1159","5103","1598","271","173","5","281606","1,802,277","357.1"
"3063","55","197","22.3","313","199","114","0","44","11","0","12917","82,669","15.9"
"3064","5938","26492","21.9","26932","23035","2161","1736","5803","133","2","458474","2,934,232","567.4"
"3065","193","2359","7.8","846","530","317","0","183","10","0","38551","246,723","47.4"
"3066","152","1482","8.9","901","400","501","0","132","20","0","38942","249,232","47.9"
"3067","148","1801","7.2","979","419","560","0","130","18","0","42441","271,621","52.8"
"3068","707","6059","11.4","2408","2089","319","0","690","17","0","69562","445,196","85.7"
"3070","1392","8928","15.3","4726","4320","406","0","1368","24","0","110085","704,542","135.8"
"3071","840","6660","12.3","3419","2629","790","0","817","23","0","90623","579,986","112.2"
"3072","1559","12966","11.6","6795","4956","1255","584","1498","59","2","231745","1,483,169","287.7"
"3073","2356","23022","9.9","8593","7083","1510","0","2286","70","0","289243","1,851,154","358.1"
"3074","1148","7586","13.3","7576","3399","3917","259","1011","136","1","245807","1,573,163","308"
"3075","1128","8267","13.5","4020","3763","256","0","1114","14","0","118416","757,861","145.9"
"3076","2170","12526","16.8","8380","6611","1768","0","2109","61","0","243880","1,560,833","301.3"
"3078","689","3890","16.9","2984","2263","721","0","658","31","0","69548","445,110","86.4"
"3079","683","5427","12.1","2790","2328","462","0","657","26","0","89515","572,896","110.4"
"3081","521","5967","7.8","3609","1404","1653","551","464","55","2","107650","688,960","134.5"
"3082","1694","10646","15.7","6679","5662","715","302","1671","22","1","162783","1,041,809","200.7"
"3083","1807","11141","15.8","7019","5558","1461","0","1761","46","0","184131","1,178,440","227.5"
"3084","1276","9516","13.0","4907","4142","764","0","1237","39","0","137790","881,858","169.9"
"3085","696","5568","12.2","2499","2230","269","0","682","14","0","75956","486,117","93.7"
"3087","443","3823","11.4","1418","1341","77","0","437","6","0","45586","291,752","56.2"
"3088","1425","10584","13.3","5427","4689","421","317","1403","20","2","146327","936,493","180.6"
"3089","771","4289","17.6","3066","2680","386","0","754","17","0","68359","437,494","84.3"
"3090","161","794","18.0","904","662","242","0","143","18","0","22332","142,924","27.5"
"3091","164","531","25.2","995","571","424","0","134","30","0","21693","138,834","26.7"
"3093","212","1484","13.0","1116","717","398","0","193","19","0","26765","171,296","33"
"3094","435","3800","11.2","1541","1346","195","0","426","9","0","43007","275,246","53"
"3095","1561","9533","15.9","6582","5544","854","184","1514","46","1","169203","1,082,897","209"
"3096","140","644","21.3","505","471","34","0","137","3","0","12669","81,082","15.6"
"3097","145","471","28.2","687","518","170","0","133","12","0","22153","141,780","26"
"3099","409","1842","21.4","1658","1395","263","0","395","14","0","44846","287,013","57.5"
"3101","830","7946","9.8","3943","2775","1168","0","775","55","0","130518","835,313","160.9"
"3102","264","2380","10.8","917","802","115","0","257","7","0","36154","231,387","44.6"
"3103","566","5762","9.4","2362","1874","488","0","541","25","0","86330","552,515","106.4"
"3104","788","7585","10.0","3337","2824","513","0","759","29","0","113613","727,120","140.1"
"3105","497","4219","11.5","1933","1652","281","0","484","13","0","64722","414,218","80"
"3106","975","6150","15.2","4127","3318","609","199","937","37","1","105764","676,892","130.4"
"3107","619","5472","11.1","2359","2105","254","0","607","12","0","73015","467,298","90"
"3108","842","7686","10.7","3615","2867","449","299","822","19","1","119752","766,411","147.8"
"3109","1182","10104","11.5","5118","4110","365","643","1162","19","1","149825","958,880","184.7"
"3111","758","4538","15.8","3479","2417","611","452","717","40","1","77452","495,694","91.2"
"3113","629","2944","20.2","2693","2115","578","0","596","33","0","59403","380,176","69.9"
"3114","258","1229","19.8","1194","988","206","0","243","15","0","31866","203,944","37.5"
"3115","303","1273","22.0","1449","1107","342","0","280","23","0","36971","236,612","43.5"
"3116","773","3927","19.0","3589","2723","466","400","745","27","1","79844","511,000","94.2"
"3121","652","7987","7.6","4405","1798","1112","1496","608","41","3","131063","838,801","161.8"
"3122","461","4483","9.7","1995","1593","402","0","437","24","0","97978","627,058","120.7"
"3123","338","3641","8.9","1398","1088","310","0","323","15","0","63526","406,568","78.3"
"3124","779","7396","10.2","3059","2625","434","0","753","26","0","123734","791,900","152.5"
"3125","641","5503","11.4","2152","1848","304","0","625","16","0","86602","554,252","107.2"
"3126","256","2883","8.6","1896","903","105","889","248","7","1","49557","317,164","61.1"
"3127","764","6762","10.9","2864","2485","379","0","739","25","0","98317","629,231","121.2"
"3128","671","6197","10.5","2646","2065","581","0","651","20","0","111118","711,157","137.5"
"3129","719","6898","10.1","2680","2183","498","0","695","24","0","91212","583,756","112.7"
"3130","1600","12661","12.4","5632","4929","703","0","1566","34","0","179526","1,148,968","221.8"
"3131","1188","9505","12.1","4361","3584","777","0","1150","38","0","138989","889,530","164.3"
"3132","736","6717","10.6","2975","2271","379","324","713","22","1","97007","620,843","114.9"
"3133","1465","8510","16.9","5377","4641","737","0","1442","23","0","137031","876,996","161.8"
"3134","1744","12841","12.9","7961","5503","2328","130","1662","81","1","224682","1,437,963","265.3"
"3135","1081","8110","13.0","4327","3415","912","0","1053","28","0","109042","697,871","128.4"
"3136","2543","18825","13.2","9515","8143","1067","305","2493","49","1","272311","1,742,791","321.5"
"3137","1022","6136","15.5","5390","3138","1952","301","950","71","1","134057","857,968","159.7"
"3138","1502","8663","17.1","5421","5012","410","0","1484","18","0","128600","823,040","151.5"
"3139","1294","5156","23.6","6284","4596","1688","0","1219","75","0","176130","1,127,235","207.1"
"3140","1197","7076","16.2","5286","3965","1322","0","1146","51","0","135056","864,355","159.6"
"3141","222","3284","6.3","1025","730","295","0","208","14","0","64446","412,457","79.4"
"3142","202","3545","4.7","1460","725","736","0","168","34","0","66274","424,157","81.7"
"3143","193","2227","8.1","819","641","178","0","181","12","0","42823","274,065","52.7"
"3144","313","3302","8.8","1705","1110","595","0","290","23","0","58149","372,150","71.7"
"3145","789","7919","9.6","3191","2673","518","0","763","26","0","130603","835,862","160.9"
"3146","892","8127","10.6","3686","3139","547","0","858","34","0","118414","757,849","146.1"
"3147","741","4949","14.7","2786","2542","244","0","729","12","0","73706","471,719","90.9"
"3148","370","3282","11.1","1259","1113","147","0","363","7","0","41750","267,198","52.4"
"3149","1872","10509","17.5","6734","6153","581","0","1837","35","0","214318","1,371,636","269.3"
"3150","3684","21581","16.7","13588","12065","1268","255","3610","73","1","351639","2,250,487","414.4"
"3151","537","3949","13.4","1698","1567","131","0","530","7","0","60299","385,915","75.7"
"3152","2143","12738","16.5","8741","7301","809","631","2108","34","1","200067","1,280,427","235.9"
"3153","1454","8355","15.4","9654","4192","4874","589","1288","164","2","263117","1,683,949","315.6"
"3154","289","1607","17.7","1034","974","60","0","284","5","0","25337","162,155","29.8"
"3155","1388","9898","13.7","5358","4261","775","322","1360","27","1","141819","907,641","167.7"
"3156","2800","14587","18.7","12159","9315","1385","1459","2725","73","2","242146","1,549,733","285.6"
"3158","361","2556","13.8","1396","1177","219","0","354","7","0","32663","209,045","38.5"
"3159","160","964","15.9","607","529","78","0","153","7","0","18245","116,770","21.4"
"3160","521","3496","14.5","2108","1733","374","0","507","14","0","53845","344,605","63.3"
"3161","314","4714","5.9","1625","1138","486","0","280","34","0","74246","475,175","91.5"
"3162","559","6318","8.4","2481","1900","580","0","528","31","0","86187","551,597","106.2"
"3163","981","10619","9.1","3420","3082","338","0","965","16","0","127022","812,944","156.7"
"3165","1144","9403","11.9","4416","3675","511","230","1116","27","1","149182","954,763","187.6"
"3166","953","9110","10.0","4686","3031","1020","635","907","45","1","152947","978,862","193.5"
"3167","499","3708","13.0","2084","1610","474","0","481","18","0","84410","540,226","107.4"
"3168","523","6884","6.9","4765","1506","1367","1893","474","46","3","184416","1,180,260","233.4"
"3169","969","7677","12.0","5013","3157","995","860","925","43","1","165047","1,056,302","210.1"
"3170","1158","7477","14.8","5488","3832","1496","160","1109","48","1","169958","1,087,733","214.3"
"3171","1172","7190","15.8","5947","3804","777","1365","1134","35","3","152140","973,697","192.7"
"3172","1357","8345","16.0","5455","4736","720","0","1332","25","0","133685","855,583","168.6"
"3173","2303","9374","23.8","10530","8235","1935","360","2230","72","1","208362","1,333,519","264.2"
"3174","1744","13663","12.5","6589","5622","767","200","1712","31","1","194265","1,243,294","243.9"
"3175","2663","19605","11.8","23592","7907","11118","4567","2309","345","9","864959","5,535,737","1106"
"3177","543","4609","11.6","1825","1652","173","0","534","9","0","58445","374,049","69.2"
"3178","2774","11478","23.7","10146","8920","1227","0","2720","54","0","221104","1,415,068","261.5"
"3179","444","2188","19.1","3315","1405","1137","773","419","23","2","75510","483,262","89.1"
"3180","601","3077","18.6","2629","1741","888","0","572","29","0","94426","604,325","113.1"
"3181","278","4311","6.0","1272","858","414","0","260","18","0","67683","433,172","83.4"
"3182","285","3187","8.2","1472","850","451","172","261","23","1","61591","394,184","75.9"
"3183","322","3143","10.0","1142","985","157","0","315","7","0","55558","355,574","68.5"
"3184","328","2306","13.7","1210","1055","156","0","316","12","0","43814","280,408","54"
"3185","357","3491","9.9","1392","1157","235","0","346","11","0","59338","379,764","73.1"
"3186","805","8527","8.6","3894","2895","999","0","737","68","0","132398","847,346","163.2"
"3187","755","6284","11.7","2607","2279","328","0","737","18","0","83916","537,060","105.4"
"3188","727","6648","10.7","2783","2549","235","0","709","18","0","85243","545,553","107"
"3189","406","2237","15.5","2820","1123","1697","0","347","59","0","127292","814,670","163.6"
"3190","376","4416","8.1","1545","1228","317","0","358","18","0","64223","411,028","81"
"3191","419","3511","11.5","1771","1468","303","0","404","15","0","54565","349,218","68.5"
"3192","1026","8219","11.7","5278","3271","1556","452","963","61","2","188769","1,208,121","238.8"
"3193","903","7705","11.2","3941","3350","590","0","861","42","0","105399","674,551","132.3"
"3194","494","5571","8.5","2295","1701","594","0","473","21","0","104870","671,170","132.2"
"3195","2156","12580","16.0","11899","7175","4166","558","2019","135","2","317830","2,034,115","404.7"
"3196","1444","8629","16.4","5157","4384","773","0","1412","32","0","131556","841,958","165.2"
"3197","874","5063","17.0","2845","2596","250","0","860","14","0","60576","387,689","76.1"
"3198","1241","8393","14.1","4971","3559","1249","162","1186","54","1","130887","837,676","161.9"
"3199","3395","24772","13.4","13620","10664","1454","1502","3321","73","1","346419","2,217,080","424.4"
"3200","297","2609","11.1","964","834","129","0","290","7","0","28073","179,667","34.4"
"3201","1785","8748","19.2","8783","5404","3379","0","1678","107","0","178075","1,139,679","226.4"
"3202","150","937","14.7","1058","488","570","0","138","12","0","37618","240,754","47.1"
"3204","1161","10407","10.9","4492","3807","685","0","1132","29","0","146030","934,591","183.3"
"3205","170","2767","5.7","875","543","332","0","157","13","0","51453","329,299","63.5"
"3206","277","3853","6.9","1107","867","241","0","266","11","0","46072","294,859","56.8"
"3207","290","4184","6.0","2429","807","1220","402","249","40","1","164446","1,052,456","205"
"3211","187","503","34.2","950","681","270","0","172","15","0","26116","167,141","33.6"
"3212","1579","6508","23.8","6664","5578","728","358","1546","31","2","181305","1,160,355","234.4"
"3214","1569","10894","14.1","6744","4405","983","1356","1541","27","1","222049","1,421,113","281.2"
"3215","1354","9325","13.9","6457","4353","2104","0","1292","62","0","208446","1,334,055","263.8"
"3216","4225","25169","16.4","16367","13844","2365","158","4139","85","1","370115","2,368,737","463.7"
"3218","713","5504","12.6","2896","2284","611","0","692","21","0","90871","581,573","113.7"
"3219","1550","10184","14.9","5815","4579","1037","199","1519","30","1","151229","967,867","190.3"
"3220","927","7655","11.1","5457","2969","2488","0","847","80","0","168508","1,078,452","212.2"
"3221","446","267","","1429","1264","165","0","435","11","0","14722","94,221","18.4"
"3222","1697","6883","23.9","7415","6084","1331","0","1645","52","0","40165","257,058","50.2"
"3223","1086","6448","16.5","4126","3679","447","0","1065","21","0","100625","644,000","129.6"
"3224","1352","6768","19.3","5941","4661","1280","0","1304","48","0","156181","999,561","197.1"
"3225","686","3487","19.2","2533","2280","252","0","671","15","0","56669","362,684","70.9"
"3226","1633","8069","19.8","6218","5506","712","0","1601","32","0","1171","7,494","1.5"
"3227","626","2750","21.9","5621","2250","324","3047","603","22","1","13990","89,534","17.6"
"3228","1761","9785","17.4","7843","6381","1200","263","1699","61","1","151419","969,084","189.8"
"3230","480","2876","16.3","1948","1666","282","0","468","12","0","1160","7,424","1.5"
"3231","268","1875","13.8","1094","990","104","0","259","9","0","13949","89,276","17.5"
"3232","106","1740","5.7","442","332","110","0","99","7","0","1092","6,986","1.3"
"3233","246","2309","10.0","1179","840","339","0","231","15","0","7328","46,898","8.7"
"3235","53","238","21.8","224","213","11","0","52","1","0","7677","49,135","9.6"
"3236","37","147","23.8","141","120","20","0","35","2","0","4277","27,371","5.1"
"3237","25","179","11.2","150","74","76","0","20","5","0","7682","49,162","9.1"
"3238","39","187","20.3","151","136","15","0","38","1","0","5757","36,845","6.8"
"3239","52","259","17.0","331","180","151","0","44","8","0","10508","67,252","12.5"
"3240","241","783","29.0","1128","893","236","0","227","14","0","26374","168,792","32.9"
"3241","291","1145","24.0","1382","1048","333","0","275","16","0","30802","197,130","38.5"
"3242","95","426","21.6","395","330","65","0","92","3","0","6667","42,669","8.3"
"3243","39","189","19.0","203","137","66","0","36","3","0","10118","64,757","12"
"3249","348","1426","22.7","1763","1206","557","0","324","24","0","68669","439,482","81.4"
"3250","876","5916","13.8","5607","2883","1234","1490","818","56","2","128544","822,679","153.2"
"3251","51","241","20.7","208","189","18","0","50","1","0","8449","54,072","10.9"
"3254","45","132","32.6","162","139","23","0","43","2","0","4435","28,383","5.3"
"3260","360","2241","14.5","2023","1265","758","0","325","35","0","46303","296,338","54.9"
"3264","197","973","18.6","1143","743","399","0","181","16","0","3707","23,728","4.6"
"3265","256","1092","19.5","2060","849","1211","0","213","43","0","60371","386,376","75.2"
"3266","269","1346","17.5","1834","948","886","0","236","33","0","37305","238,751","44.2"
"3267","18","97","15.5","135","79","57","0","15","3","0","5168","33,076","6.1"
"3268","250","1174","17.8","1904","853","1051","0","209","41","0","42211","270,152","52.6"
"3269","71","416","14.4","476","261","216","0","60","11","0","12274","78,556","14.6"
"3270","23","348","6.6","87","87","0","0","23","0","0","5813","37,201","7.3"
"3271","19","102","17.6","80","69","11","0","18","1","0","9591","61,385","11.9"
"3272","164","804","19.4","711","585","126","0","156","8","0","15711","100,547","19.6"
"3273","11","71","14.1","59","44","15","0","10","1","0","5081","32,521","6.3"
"3274","35","114","30.7","139","139","0","0","35","0","0","8366","53,545","10.4"
"3275","34","185","17.8","154","143","11","0","33","1","0","4931","31,559","6.2"
"3276","36","225","13.8","179","118","61","0","31","5","0","12576","80,489","15.7"
"3277","124","770","14.5","741","436","304","0","112","12","0","31670","202,691","39.7"
"3278","32","137","19.7","230","120","110","0","27","5","0","4741","30,344","5.9"
"3279","26","98","25.5","111","101","10","0","25","1","0","6445","41,251","8"
"3280","1732","14549","11.2","8457","5721","2484","253","1634","97","1","272067","1,741,228","340.6"
"3281","181","636","26.7","958","727","232","0","170","11","0","22351","143,044","27.9"
"3282","170","1032","15.9","664","593","71","0","164","6","0","26560","169,982","33.2"
"3283","125","539","21.3","641","463","178","0","115","10","0","25506","163,241","31.8"
"3284","288","2285","11.8","1462","1008","454","0","270","18","0","8438","54,003","10.6"
"3285","118","587","19.6","483","429","54","0","115","3","0","21141","135,304","26.6"
"3286","47","317","14.8","177","177","0","0","47","0","0","12000","76,800","15.3"
"3287","35","178","19.7","140","140","0","0","35","0","0","13031","83,399","16.2"
"3289","88","403","20.8","383","317","65","0","84","4","0","13620","87,171","17.3"
"3292","38","306","12.4","126","126","0","0","38","0","0","199","1,275",".2"
"3293","36","163","21.5","130","115","16","0","35","1","0","12202","78,095","15.5"
"3294","82","452","17.5","382","317","65","0","79","3","0","18898","120,949","24"
"3300","673","4971","12.8","3182","2326","856","0","638","35","0","16708","106,934","21.3"
"3301","107","575","17.7","516","439","76","0","102","5","0","38680","247,552","49.2"
"3302","33","189","17.5","123","123","0","0","33","0","0","11773","75,345","15"
"3303","25","171","12.9","124","94","30","0","22","3","0","10232","65,485","12.7"
"3304","280","1321","20.4","1242","1017","225","0","270","10","0","48338","309,363","60.1"
"3305","1178","6129","18.7","4841","4105","736","0","1148","30","0","179270","1,147,327","225.1"
"3309","11","63","17.5","51","51","0","0","11","0","0","2444","15,639","3"
"3310","26","139","18.0","96","80","17","0","25","1","0","6357","40,682","8.1"
"3311","168","956","16.9","698","596","102","0","162","6","0","6360","40,703","8"
"3312","81","538","14.9","329","319","10","0","80","1","0","34319","219,640","43"
"3314","59","251","22.7","226","202","24","0","57","2","0","17861","114,311","22.7"
"3315","151","845","17.0","624","518","106","0","144","7","0","42390","271,294","54"
"3317","9","108","7.4","35","24","11","0","8","1","0","6326","40,488","8.5"
"3318","141","742","17.8","715","550","165","0","132","9","0","18900","120,957","23.7"
"3319","33","222","14.0","150","128","22","0","31","2","0","8282","53,006","10.4"
